date,fund,return
2021-11-08,Combined Min-Variance,0.001127564294983541
2021-11-09,Combined Min-Variance,0.0008513002579253827
2021-11-10,Combined Min-Variance,0.00028824744672379223
2021-11-11,Combined Min-Variance,0.0014112552690889492
2021-11-12,Combined Min-Variance,0.002318153263144266
2021-11-15,Combined Min-Variance,-0.003054599614177543
2021-11-16,Combined Min-Variance,-0.004028879035685406
2021-11-17,Combined Min-Variance,-0.003177789569299245
2021-11-18,Combined Min-Variance,-0.0021960531855243527
2021-11-19,Combined Min-Variance,-0.006845428362115484
2021-11-22,Combined Min-Variance,0.0027053815562066794
2021-11-23,Combined Min-Variance,0.006365293561241273
2021-11-24,Combined Min-Variance,-0.0008011196146104562
2021-11-26,Combined Min-Variance,-0.014556288715910314
2021-11-29,Combined Min-Variance,0.000708717356255043
2021-11-30,Combined Min-Variance,-0.02190641044420996
2021-12-01,Combined Min-Variance,-0.012210148101045544
2021-12-02,Combined Min-Variance,0.014741531637177669
2021-12-03,Combined Min-Variance,0.007559700108361404
2021-12-06,Combined Min-Variance,0.01143363020752031
2021-12-07,Combined Min-Variance,0.004473806040306643
2021-12-08,Combined Min-Variance,0.0010846355759351733
2021-12-09,Combined Min-Variance,-0.003517352283389734
2021-12-10,Combined Min-Variance,0.007375887605079195
2021-12-13,Combined Min-Variance,0.005142241520433867
2021-12-14,Combined Min-Variance,-0.0014818910670910982
2021-12-15,Combined Min-Variance,0.011630538103577469
2021-12-16,Combined Min-Variance,0.010439176064484655
2021-12-17,Combined Min-Variance,-0.011718181885693301
2021-12-20,Combined Min-Variance,0.0004122021022899482
2021-12-21,Combined Min-Variance,0.003957851252229383
2021-12-22,Combined Min-Variance,0.006295837900239878
2021-12-23,Combined Min-Variance,0.002280878217368872
2021-12-27,Combined Min-Variance,0.011097206564162625
2021-12-28,Combined Min-Variance,0.0042451991984054915
2021-12-29,Combined Min-Variance,0.0017271432034797354
2021-12-30,Combined Min-Variance,0.0006582707198585554
2021-12-31,Combined Min-Variance,-0.0012204015919516004
2022-01-03,Combined Min-Variance,0.0019776151007263342
2022-01-04,Combined Min-Variance,0.0002942485229937338
2022-01-05,Combined Min-Variance,-0.0033626292325496217
2022-01-06,Combined Min-Variance,-0.003952665593059111
2022-01-07,Combined Min-Variance,0.00462569333608572
2022-01-10,Combined Min-Variance,-0.0024283239910009623
2022-01-11,Combined Min-Variance,0.003214938274638245
2022-01-12,Combined Min-Variance,0.001500035011936659
2022-01-13,Combined Min-Variance,-0.0025676263046938022
2022-01-14,Combined Min-Variance,-0.0024787634451729525
2022-01-18,Combined Min-Variance,-0.008469172748789961
2022-01-19,Combined Min-Variance,-9.448852015877304e-05
2022-01-20,Combined Min-Variance,-0.01066738438035814
2022-01-21,Combined Min-Variance,-0.0047752257420498306
2022-01-24,Combined Min-Variance,-0.003957583556070693
2022-01-25,Combined Min-Variance,-0.004590115236615797
2022-01-26,Combined Min-Variance,-0.015074525209087862
2022-01-27,Combined Min-Variance,-0.0003401187961321276
2022-01-28,Combined Min-Variance,0.015758152563111652
2022-01-31,Combined Min-Variance,0.010834938028370702
2022-02-01,Combined Min-Variance,-0.0019888218304532565
2022-02-02,Combined Min-Variance,0.010319442212326316
2022-02-03,Combined Min-Variance,-0.006526839316841368
2022-02-04,Combined Min-Variance,-0.0038688308369679825
2022-02-07,Combined Min-Variance,-0.0001607615502018855
2022-02-08,Combined Min-Variance,-9.64273818994989e-05
2022-02-09,Combined Min-Variance,0.006516756675775124
2022-02-10,Combined Min-Variance,-0.01608685994303338
2022-02-11,Combined Min-Variance,-0.005111902356880388
2022-02-14,Combined Min-Variance,-0.006522449152992353
2022-02-15,Combined Min-Variance,0.00400307057723473
2022-02-16,Combined Min-Variance,-0.001776249914545078
2022-02-17,Combined Min-Variance,-0.008374921041254105
2022-02-18,Combined Min-Variance,-0.005281477161730303
2022-02-22,Combined Min-Variance,-0.004661908598558733
2022-02-23,Combined Min-Variance,-0.005344042858726434
2022-02-24,Combined Min-Variance,0.00019182332763761483
2022-02-25,Combined Min-Variance,0.025748491599846997
2022-02-28,Combined Min-Variance,-0.005756542379645067
2022-03-01,Combined Min-Variance,-0.005932033928462144
2022-03-02,Combined Min-Variance,0.01411903896011953
2022-03-03,Combined Min-Variance,0.007058148770255894
2022-03-04,Combined Min-Variance,0.007833795628945591
2022-03-07,Combined Min-Variance,-0.008651014056781354
2022-03-08,Combined Min-Variance,-0.013585909732667071
2022-03-09,Combined Min-Variance,0.006471414271705147
2022-03-10,Combined Min-Variance,0.0012356565994968587
2022-03-11,Combined Min-Variance,-0.0059044948765409645
2022-03-14,Combined Min-Variance,-0.005495969882869893
2022-03-15,Combined Min-Variance,0.00923374885857874
2022-03-16,Combined Min-Variance,0.006693816602507814
2022-03-17,Combined Min-Variance,0.011427655753455388
2022-03-18,Combined Min-Variance,0.0028624203865678577
2022-03-21,Combined Min-Variance,0.002369813888663465
2022-03-22,Combined Min-Variance,0.004745831447791813
2022-03-23,Combined Min-Variance,-0.008873810492174686
2022-03-24,Combined Min-Variance,0.0063184014857160286
2022-03-25,Combined Min-Variance,0.008366907044087995
2022-03-28,Combined Min-Variance,0.005792678441017355
2022-03-29,Combined Min-Variance,0.012494534850574982
2022-03-30,Combined Min-Variance,0.0008654486112436152
2022-03-31,Combined Min-Variance,-0.00911570015350325
2022-04-01,Combined Min-Variance,0.008854708480334185
2022-04-04,Combined Min-Variance,0.0026914895951757863
2022-04-05,Combined Min-Variance,-0.00451224061853578
2022-04-06,Combined Min-Variance,0.010722571191290492
2022-04-07,Combined Min-Variance,0.0035836500526436905
2022-04-08,Combined Min-Variance,0.00555656671077342
2022-04-11,Combined Min-Variance,-0.013932047405662128
2022-04-12,Combined Min-Variance,0.001749610392428568
2022-04-13,Combined Min-Variance,0.0056114161897815665
2022-04-14,Combined Min-Variance,0.0015062171789468552
2022-04-18,Combined Min-Variance,-0.004758923709354673
2022-04-19,Combined Min-Variance,0.008712069853303304
2022-04-20,Combined Min-Variance,0.002793456150452088
2022-04-21,Combined Min-Variance,-0.010375043246479447
2022-04-22,Combined Min-Variance,-0.016775489701302285
2022-04-25,Combined Min-Variance,-0.0010559679061666262
2022-04-26,Combined Min-Variance,-0.014899416156251762
2022-04-27,Combined Min-Variance,-0.0014236995040247588
2022-04-28,Combined Min-Variance,0.015269849160214073
2022-04-29,Combined Min-Variance,-0.03221404864163115
2022-05-02,Combined Min-Variance,0.0011492119657868873
2022-05-03,Combined Min-Variance,0.0028235837922774383
2022-05-04,Combined Min-Variance,0.024052321676834847
2022-05-05,Combined Min-Variance,-0.014944326098144054
2022-05-06,Combined Min-Variance,-0.005717244074838116
2022-05-09,Combined Min-Variance,-0.014856983860539425
2022-05-10,Combined Min-Variance,-0.007353628656579765
2022-05-11,Combined Min-Variance,0.006299942057478565
2022-05-12,Combined Min-Variance,0.006607873647504068
2022-05-13,Combined Min-Variance,0.00998071338509396
2022-05-16,Combined Min-Variance,0.00606649358541399
2022-05-17,Combined Min-Variance,-0.0015101344392685072
2022-05-18,Combined Min-Variance,-0.023366092100534613
2022-05-19,Combined Min-Variance,-0.0045921867956677884
2022-05-20,Combined Min-Variance,0.0031398233004678883
2022-05-23,Combined Min-Variance,0.01518713317906278
2022-05-24,Combined Min-Variance,0.009553683240291069
2022-05-25,Combined Min-Variance,0.006133255603689188
2022-05-26,Combined Min-Variance,0.005031292313410643
2022-05-27,Combined Min-Variance,0.011128566154270549
2022-05-31,Combined Min-Variance,-0.009313011408397933
2022-06-01,Combined Min-Variance,-0.004510336498727776
2022-06-02,Combined Min-Variance,0.00695240102598618
2022-06-03,Combined Min-Variance,-0.005229330516486627
